id;order_id;email_address;sku;quantity;price;item_name;qc_status
1;portal reboot;"A|\aV@\SSSSS";Franc;26312;92349;Borders target Cambridgeshire;REJECTED
2;Salad;"_!r@\SSS";integrate e-commerce;73814;70320;Oval Creek;REJECTED
3;Cotton;"wS;_'#@\SSSSS";Cotton olive Response;59271;85604;Minnesota;ACCEPTED
4;tan;");u@\SSS";Brand;68369;36493;Legacy Hryvnia Health;ACCEPTED
5;channels;"{fj`@\SSSSS";Games Grocery;75741;54946;Auto intuitive multi-state;ACCEPTED
6;quantifying Internal Wooden;"~@\SS";Director initiatives Personal;83814;13635;GB Ergonomic;ACCEPTED
7;Concrete;"M>i:2@\SSSSS";mobile Corporate;77345;3124;Assistant payment payment;ACCEPTED
8;Chips Denar Belarus;"GD?>ox@\SSSS";24/7;49892;5145;Strategist;REJECTED
9;invoice Alabama;"8xIk]/@\SS";purple withdrawal;62830;60850;Product;REJECTED
10;Mountain Senegal;"_B@\SSSS";Engineer pixel improvement;77437;51073;standardization Marketing;REJECTED
